title,author,description,date,publisher,language,subjects,categories,isbn,pages,source,identifier,download_count,file_size,pdf_url,cover_url,local_pdf_path,local_cover_path,added_date
twisted_games,Ana Huang,"<i><span style=""color:rgb(32,33,36);font-family:'Google Sans', arial, sans-serif;font-size:20px;background-color:rgb(255,255,255);"">Twisted Games is the second installment in Ana Huang's </span><span style=""color:rgb(32,33,36);font-family:'Google Sans', arial, sans-serif;font-size:20px;background-color:rgb(255,255,255);""><span class=""c5aZPb""><span class=""JPfdse"" style=""border-bottom:1px dashed rgba(4,12,40,0.5);"">Twisted series</span></span></span><span style=""color:rgb(32,33,36);font-family:'Google Sans', arial, sans-serif;font-size:20px;background-color:rgb(255,255,255);"">. </span><span style=""background-color:rgb(211,227,253);color:rgb(4,12,40);font-family:'Google Sans', arial, sans-serif;font-size:20px;"">It follows the story of Bridget, a princess of Eldora who falls in love with her bodyguard</span><span style=""color:rgb(32,33,36);font-family:'Google Sans', arial, sans-serif;font-size:20px;background-color:rgb(255,255,255);"">. The book tells the tale of a forbidden and concealed romance between a future queen and her highly protective bodyguard.</span></i>",,,en,"princess, forbidden romance","princess, forbidden romance",,,archive.org,twisted_games,0,2678334,https://archive.org/download/twisted_games/twisted_games.pdf,https://archive.org/download/twisted_games/__ia_thumb.jpg,,,2025-11-26T03:10:42.681663
Harrison Bergeron (& Activity),"Vonnegut, Kurt","In a world where every person is equal, those that exhibit above-average intelligence are kept in check via loud earpieces to distract them from thinking too much. <div><br /></div><div>Suggested Level: LS (Lower Secondary)</div>",,,en,"LIT, LS, LIT.LS, Short Stories, Science Fiction, Mediocrity--Fiction, Gifted persons--Fiction, Dissenters--Fiction, Games and activities--(Secondary)","LIT, LS, LIT.LS, Short Stories, Science Fiction",,,archive.org,HarrisonBergeron,0,87235,https://archive.org/download/HarrisonBergeron/Harrison Bergeron.pdf,https://archive.org/download/HarrisonBergeron/__ia_thumb.jpg,,,2025-11-26T03:10:43.689147
THE ART OF CARICATURING,SMITH,,1941,FREDERICK J.DRAKE & CO. PUBLISHERS,en,ART,ART,,,archive.org,artofcaricaturin006061mbp,0,4256095,https://archive.org/download/artofcaricaturin006061mbp/artofcaricaturin006061mbp.pdf,https://archive.org/download/artofcaricaturin006061mbp/__ia_thumb.jpg,,,2025-11-26T03:10:45.433244
Ikigai The Japanese Secret To A Long And Happy Life ( PDFDrive.com ),Akihiro Hasegawa,Ikigai,,,en,Ikigai,Ikigai,,,archive.org,ikigai-the-japanese-secret-to-a-long-and-happy-life-pdfdrive.com,0,3633287,https://archive.org/download/ikigai-the-japanese-secret-to-a-long-and-happy-life-pdfdrive.com/Ikigai _ the Japanese secret to a long and happy life ( PDFDrive.com ).pdf,https://archive.org/download/ikigai-the-japanese-secret-to-a-long-and-happy-life-pdfdrive.com/__ia_thumb.jpg,,,2025-11-26T03:10:45.682374
Hunting Adeline,H.D Carlton,"<span style=""color:rgb(32,33,36);font-family:'Google Sans', arial, sans-serif;font-size:20px;background-color:rgb(255,255,255);"">I'm trapped in a world full of monsters dressed as men, and those who aren't as they seem. They won't keep me forever. I no longer recognize the person I've become, And I'm fighting to find my way back to the beast who hunts me in the night.</span>",2022-01-22,,en,"cat and mouse, stalker, kidnapping, dark romance, torture","cat and mouse, stalker, kidnapping, dark romance, torture",,,archive.org,hunting-adeline_202307,0,4931697,https://archive.org/download/hunting-adeline_202307/Hunting Adeline.pdf,https://archive.org/download/hunting-adeline_202307/__ia_thumb.jpg,,,2025-11-26T03:10:46.669371
How To Talk Anyone,,how to talk to anyone,,,en,how to talk to anyone,how to talk to anyone,,,archive.org,HowToTalkAnyone,0,14622983,https://archive.org/download/HowToTalkAnyone/how to talk anyone.pdf,https://archive.org/download/HowToTalkAnyone/__ia_thumb.jpg,,,2025-11-26T03:10:48.077729
Invincible [Compendiums],Robert Kirkman,"<font face=""-apple-system, .SFNSText-Regular, BlinkMacSystemFont, San Francisco, Roboto, Segoe UI, Oxygen, Ubuntu, Cantarell, Fira Sans, Droid Sans, Helvetica Neue, Helvetica, Lucida Grande, sans-serif""><span style=""background-color:rgb(242,242,242);"">Girls, acne, homework, supervillains. When you're a teenager it pays to be Invincible. Mark Grayson was just an average kid living in a world full of super heroes. It wasn't until he was a teenager that he gained fantastic powers thanks to his biological father Omni-Man. He was able to fly faster than a jet, lift buildings like Hercules, and battle acne like Proactive. Girls, homework, super villains, it's just another day in the life of the one and only Invincible. Join Mark Grayson in his incredible adventures into the unknown and catch some astonishing surprises while you're at it. This is probably the best superhero comic in the entire universe, or so it claims.</span></font><br />",,,en,"Action, Adventure, Complete, Drama, Fiction, Fighting, Mature, Modern Age (1985+), Romance, Science Fiction","Action, Adventure, Complete, Drama, Fiction",,,archive.org,invincible-compendiums,0,100492231,"https://archive.org/download/invincible-compendiums/Invincible, Vol. 1.pdf",https://archive.org/download/invincible-compendiums/__ia_thumb.jpg,,,2025-11-26T03:10:48.858818
"Financial Times , 1992, UK, English",,,,,en,,,,,archive.org,FinancialTimes1992UKEnglish,0,13404639,"https://archive.org/download/FinancialTimes1992UKEnglish/Apr 01 1992, Financial Times, #600, UK (en).pdf",https://archive.org/download/FinancialTimes1992UKEnglish/__ia_thumb.jpg,,,2025-11-26T03:10:49.971355
Am I A Lesbian? MasterDoc,,A 31-page document discussing compulsory heterosexuality on women and how to distinguish it from bisexuality.,2019-04-23,,en,"comphet, compulsory heterosexuality, lesbian, sexuality","comphet, compulsory heterosexuality, lesbian, sexuality",,,archive.org,am-i-a-lesbian-masterdoc,0,172207,https://archive.org/download/am-i-a-lesbian-masterdoc/Am I a Lesbian_ Masterdoc.pdf,https://archive.org/download/am-i-a-lesbian-masterdoc/__ia_thumb.jpg,,,2025-11-26T03:10:50.938884
The Satanic Bible.pdf (PDFy mirror),,"<p>	<strong>This public document was automatically mirrored from <a href=""https://pdf.yt/"" rel=""ugc nofollow"">PDFy</a>.</strong></p><ul><li><strong>Original filename:</strong> The Satanic Bible.pdf</li>	<li><strong>URL:</strong> <a href=""http://pdf.yt/d/S7Va9xWFV5XFybhK"" rel=""ugc nofollow"">https://pdf.yt/d/S7Va9xWFV5XFybhK</a></li>	<li><strong>Upload date:</strong> January 19, 2015 03:56:37</li></ul>",2014-01-01,,en,"mirror, pdf.yt","mirror, pdf.yt",,,archive.org,pdfy-S7Va9xWFV5XFybhK,0,1438940,https://archive.org/download/pdfy-S7Va9xWFV5XFybhK/The Satanic Bible.pdf,https://archive.org/download/pdfy-S7Va9xWFV5XFybhK/__ia_thumb.jpg,,,2025-11-26T03:10:51.711564
